Id,Text,Summary
398,personal data means any information relating to an identified or identifiable natural person,how to protect the security of users
399,it may collect data to improve our operations and to understand how to provide you with the best experience,maintain security
400,if you contact our customer support team for help with specific pieces of content in your account for example if you can not find a note you believe should be in your account we may ask for your temporary permission to look at your content this permission terminates when the issue is resolvedlearn moreshow less,send messages about new products
401,account closure you may cancel your account and you may opt out of receiving marketing emails from us at any time in order to cancel your account opt out of or modify your personal information you must do so by logging in and visiting your settings  account page and following the instructions provided or go to our help support page we encourage you promptly to update your personal information when it changes information concerning your past behavior with the services may be retained by us as long as necessary for the purposes set out above,dealing with donations
402,for advertising we use the information we collect including account and contact information to target ads to registered users visitors and others through a variety of advertising partners in some cases we also use information including service usage information and information from web beacons pixels and cookies and device identifiers that we collect as mentioned above to better understand how to promote and advertise our services to you,how long is data retained 
403,gumroad inc is our payment service provider,improve website
404,the best way we have for knowing how well we are doing is by the number of visitors our website receives to learn this information we use google analytics a free service provided by google google analytics tracks information such as the number of visitors that each page on our site receives the general location of our visitors the number of pages viewed by a visitor and the amount of time a visitor spent on our site, restrict use of data 
405,we may compile statistics about the use of our sites including data on traffic usage patterns user numbers sales and other information all such data will be anonymised and will not include any personally identifying information we may from time to time share such data with third parties such as prospective investors affiliates partners and advertisers data will only be shared and used within the bounds of the law,the purpose of collecting information
406,advertisers app developers and publishers can send us information through meta business tools they use including our social plugins such as the like button facebook login our apis and sdks or the meta pixel these partners provide information about your activities off of our products including information about your device websites you visit purchases you make the ads you see and how you use their serviceswhether or not you have an account or are logged into our products,complying with laws
407,send you updates such as when certain activity like repins or comments happens on pinterest newsletters marketing materials and other information that may be of interest to you for example depending on your email notification settings we may send you weekly updates that include pins you may like you can decide to stop getting these updates by updating your account settings or through other settings we may provide,other public data
408,we may retain information for as long as the account of the customer for whom we collected the information is active or as long as is reasonably necessary to provide screenrec services or as needed for other lawful purposes we may retain cached or archived copies of information we may retain anonymized or pseudonymized aggregated data indefinitely to the extent permitted under applicable law we also will retain information as long as reasonably necessary to comply with our contractual andor legal obligations resolve disputes and enforce our agreements,accessing personal information
409,if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,merger acquisition or other business transaction
410,information related to use of the services our servers automatically record certain data about how a person uses our services log data including that of both account holders and nonaccount holders either a user log data may include certain data such as a users ip address browser type operating system the pages or features of our services to which a user browsed and the time spent on those pages or features search terms the links on our services that a user clicked on and other statistics we use log data to administer the services and we analyze and may engage third parties to analyze log data to improve customize and enhance our services by expanding and tailoring features and functionalities of our services to our users needs and preferences we may use a persons ip address to generate aggregate nonidentifying data about where our services are used in addition for the aforementioned purposes and providing better access to and experience of our services for you we may allow certain third parties to collect and use your information,what is collected software data 
411,lucid takes reasonable measures to protect your personal information and your documents from loss misuse and unauthorized access disclosure alteration and destruction and to ensure that your documents remain available to you,career opportunities 
412,we will contact you through email mobile phone notices posted on our websites or apps messages to your linkedin inbox and other ways through our services including text messages and push notifications we will send you messages about the availability of our services security or other service related issues,collection of contractual requirement 
413,edrawmax takes reasonable measures to protect your personal information and your documents from loss misuse and unauthorized access disclosure alteration and destruction and to ensure that your documents remain available to you,synchronizing contacts 
414,facebook google analytics and google adsense provide us with some additional services and may collect some data on their own you can find the details about the use of such services and data which they may collect in the annex,personal information
415,we use your data to provide support personalize and develop our services,cloudflare
416,to get more geographically relevant information chrome gives you the option to share your location with a site chrome wont allow a site to access your location without your permission,job application data
417,adobe services and software may include buttons tools or content that link to other companies services for example a facebook like button we may collect information about your use of these features such as content liked and address information in google maps in addition when you see or interact with these buttons tools or content or view an adobe web page or app containing them some information from your browser may automatically be sent to the other company please read that companys privacy policy for more information,retaining information
418,we may collect certain information about viewers viewers can be our customers website viewers or our customers customers viewers in a scenario when our customer is acting as white label reseller of screenrec services such information may include personal information which is information that identifies an individual or relates to identifiable person information that may be collected when videos are viewed via screenrec services includes unique ids such as ip addresses or device id viewer name address email address title and industry or any other custom data our customer may choose to collect from viewers note that screenrec collects this information about viewers only if a customer elects to use certain features of screenrec services such as audience forms external uploaders with metadata forms payperview that are intended to collect such information system information such as device browser and operating system type and version screen resolution and preferred language referring domain destination domain and destination path video viewing activity such as player loads number of views viewed minutes percent of content viewed new viewers unique viewers attention span top domains geography traffic sources search terms and other similar information this information is aggregated and anonymized meaning it is not connected to an individual viewer geolocation data other personal information of a natural person that may be included in videos or other data that is uploaded to screenrec services,the process of editing personal information 
419,we use the collected data for various purposes including to monitor the usage of our service,network information
420,information collected from customers to enable us to effectively provide screenrec services we may collect the following information from individuals authorized by customers such as a customers employees to use screenrec services name business email address business telephone number company title and business billing address and payment information login credentials,objecting to desicions about usage of persoanl data 
421,we may provide other rights for residents of some countriesterritories subject to the locally applicable data protection law we respect and constantly take multiple practices to protect your information no matter where you live,understanfing customers behaviour
422,we will also collect email header information that we can associate with member profiles,what is personal information
423,we do not share any personally identifying information publicly or with third parties except when required to by law,protecting business from fraud
424,to the extent permitted by applicable law we may share disclose and transfer information including personal information as follows with the customer as part of the screenrec services,selling business
425,for users that register on our website if any we also store the personal information they provide in their user profile all users can see edit or delete their personal information at any time except they cannot change their username website administrators can also see and edit that information,device settings information
426,we collect the content communications and other information you provide when you use our products including when you sign up for an account create or share content and message or communicate with others this can include information in or about the content you provide like metadata such as the location of a photo or the date a file was created it can also include what you see through features we provide such as our camera so we can do things like suggest masks and filters that you might like or give you tips on using camera formats our systems automatically process content and communications you and others provide to analyze context and whats in them for the purposes described below learn more about how you can control who can see the things you share,log activity
427,your account information you must provide your mobile phone number and basic information including a profile name of your choice to create a whatsapp account if you dont provide us with this information you will not be able to create an account to use our services you can add other information to your account such as a profile picture and about information,third party and personal information
428,if you are logged in at the same time on facebook facebook detects with every your visit of the website and for the entire duration of your stay on the website which specific page of the website was visited this information is collected through the facebook component and associated with your facebook account if you click on one of the facebook buttons integrated into the website eg the like button or if you submit a comment then facebook matches this information with your personal facebook user account and stores the personal data,the purpose of personal information for registration
429,prezi inc companies we share information we have about you with other prezi inc affiliates including infogram in order to operate and improve products and services and to offer other prezi inc affiliated services to you,the purpose for using personalized and nonpersonalized ads
430,in visiting our website or accessing our services including the blackmagic forum we may also utilise cookies to enable us to monitor traffic patterns and to serve you more efficiently a cookie does not identify you personally but it does identify your computer you can set your internet browser to notify you when you receive a cookie and this will provide you with an opportunity to either accept or reject it in each instance,personal information
431,the evernote service is designed for adults we do not intend to collect personal information from children under the age of 16 if we learn we have collected or received personal information from a child under 16 without verification of parental consent we will delete that information,the purpose for using location information
432,we are based in the united states and unless we expressly agree otherwise we may host transfer and process data including personal information in the united states and in other countries through lucid affiliates and third parties that we use to operate and manage the services these countries may have data protection laws that are different from those of your country of residence lucid uses a variety of safeguards including contractual and technical measures to protect the data we transfer,support information
433,when we have no ongoing legitimate business need to process your personal information we will either delete or anonymize it or if this is not possible for example because your personal information has been stored in backup archives then we will securely store your personal information and isolate it from any further processing until deletion is possible,automated decision making and profiling
434,we do not share any personally identifying information publicly or with third parties except when required to by law,information from partners like advertisers
435,if a user decides to optin to our mailing list they will receive emails that may include news and project updates if at any time the user would like to unsubscribe from receiving future emails we include detailed unsubscribe instructions at the bottom of each email or the user may contact us via our site,synchronization
436,headers  headers are information that is transmitted whenever a webpage is viewed and contain technical information required for communication between a browsing device and a website server other electronic communication protocols such as those used for email also use headers to transmit information information may be transmitted through or other electronic communication protocol headers to screenrec from the customers use of screenrec services or from viewer interaction with a customers video this may include information about the device browser the requested webpage and the computer or device being used such as a carrier or device identifier,communication between members 
437,you do not have to create an account to use some of our service features such as searching and viewing public presentations if you do choose to create an account and become a member you must provide us with some personal data so that we can provide our services to you including your name email address and or phone number occupation title and a password,information gathering tools 
438,our payment processor is the data controller of your payment information please make sure to check their privacy policy,audio electric visual information
439,protect the security or integrity of the services or protect the rights property or safety of you other users employees partners and affiliates or other natural persons,requesting a copy of personal information
440,all personal data processed for profiling purposes shall be secured in order to prevent discriminatory effects arising out of profiling,where is personal information stored
441,information related to use of the services our servers automatically record certain data about how a person uses our services log data including that of both account holders and nonaccount holders either a user log data may include certain data such as a users ip address browser type operating system the pages or features of our services to which a user browsed and the time spent on those pages or features search terms the links on our services that a user clicked on and other statistics we use log data to administer the services and we analyze and may engage third parties to analyze log data to improve customize and enhance our services by expanding and tailoring features and functionalities of our services to our users needs and preferences we may use a persons ip address to generate aggregate nonidentifying data about where our services are used in addition for the aforementioned purposes and providing better access to and experience of our services for you we may allow certain third parties to collect and use your information,installation tracking
442,please note that some countries outside the uk or eu including australia do not have the same data protection laws as the uk or eu we will ensure that any transfer to such countries of your personal information in cases where the gdpr applies to such transfer either by us or by any third party supplier to whom we provide your information will unless the european commission considers their laws adequate be subject to appropriate or suitable relevant safeguards eg legally binding contract containing european commissionapproved model clauses or terms consistent with them or for transfers to the us the euus privacy shield to the extent required under the gdpr that are designed to help safeguard your privacy rights and give you remedies in the unlikely event of a misuse of your personal information if you have any queries about the basis upon which we may transfer your personal information outside of australia please contact us,posts information
443,what the information used for to allow us to offer improve maintain and monitor the security and quality of this website to allow us to offer and maintain features such as the community forums to allow us to offer automatic update checks within the application,premium services 
444,we receive information when you view content on or otherwise interact with the services even if you are a visitor for example when you visit our websites sign into our services interact with our email notifications or visit a third party service that includes content from our services we may receive information about you or combine such information with other personal information this service usage information includes data such as your ip address browser type operating system the referring web page pages visited within our services location your mobile carrier device information including device and application ids search terms and cookie information,do not track option
445,inkscape may collect and use users information for the following purposes to send users information they agreed to receive about topics we think will be of interest to them,promoting marketing
446,when visiting our website or accessing our services we may also collect and store the following details ip address from which you access our website or services the date and time you access our website or services any third party website from which you linked to our website or accessed our service statistics on page views traffic to and from our website and services and other transactional information about your access to our website or services,service development
447,we may also use web beacons in email communications sent to you in order to understand the behavior of our members we do not link the web beacons to any of our members personally identifiable information,what are the information needed to subscribe to newsletters
448,we may collect your personal data when you register for or use our services such as when you create an account make a payment or make a purchase on a merchants website,recommend jobs 
449,provide additional information such as company annual revenues number of employees or industry optional information,communication and marketing preferences
450,we may collect demographic data from our members and visitors we use this data to tailor your user experience at our website newsletter and service showing you content that we think you might be interested in and displaying the content according to your preferences some of this information may be shared with advertisers on a nonpersonally identifiable basis,device and usage data
451,we use data to supply you with email newsletters that you have subscribed to you may unsubscribe or optout at any time by unsubscribing or modifying your subscription details,personal data for profiling purposes
452,we use data for personalizing and tailoring your experience on our sites,browsing history
453,while accessing or using the services we may automatically collect information about how you interact with the services such information may include your internet protocol ip address device identifier advertising identifier mac address operating system browser type language preferences referring and exiting pages crash data location data purchasing activity and other data regarding your activities on the services for more information see the section,cloudflare
454,performing our services we use a number of technologies to help you get the most out of the evernote service our systems automatically analyze your data to power evernote features and to continually improve the evernote service for you in a way that does not require anyone to look at your content this may include,identification information
455,docker may also share data about docker customers with the companys service providers to ensure the quality of information provided,dart cookies
456,your profile is fully visible to all members and customers of our services subject to your settings it can also be visible to others on or off of our services,sharing information by advertising partners 
457,where personal data comes from we may collect personal information about you from various sources for example from you when you use paypal or another paypal service such as xoom or venmo merchants our payment partners such as card networks and payment processors financial institutions such as banks credit bureaus service providers such as companies that help us manage risk and fraud deliver services to you and market our services,where data is stored 
458,we may get information about you and your activity off pinterest from our affiliates advertisers partners and other third parties we work with for example some websites or apps use pinterest features like our save button if so we may collect log information described above from those sites or apps, other third parties 
459,the company may also use website navigational information alone or in combination with data about docker customers to provide personalized information about the company,selling and supplying goods
460,we use location related information such as your current location where you live the places you like to go and the businesses and people you are near to provide personalize and improve our products including ads for you and others location related information can be based on things like precise device location if you have allowed us to collect it ip addresses and information from your and others use of meta products,ensure quality of information
461,when you access our service with a device this usage data may include information such as the type of device you use your device unique id the ip address of your device your device operating system the type of internet browser you use unique device identifiers and other diagnostic data, procedure for using dont track sittings in browsers
462,right to withdraw your consent you have the right to withdraw consent given to us at any time as a result we are no longer allowed to continue the processing based on this consent in the future this does not affect the legality of the processing carried out on the basis of the consent up to the point of withdrawal,use cloud to keep perosnal information safe
463,in visiting our website or accessing our services including the blackmagic forum we may also utilise cookies to enable us to monitor traffic patterns and to serve you more efficiently a cookie does not identify you personally but it does identify your computer you can set your internet browser to notify you when you receive a cookie and this will provide you with an opportunity to either accept or reject it in each instance,cookies
464,cookies web beacons and other tracking technologies we and our thirdparty service providers may use technologies such as cookies and beacons to quantify use analyze viewing and engagement with videos displayed using screenrec services conduct benchmarking generate metrics report to customers and assess the quality of screenrec services,respond to comments
465,we provide you with the ability to access rectify port and erase your data learn more in your facebook settings and instagram settings,data retention
466,we also use the information we collect to offer you customized content including suggesting pins or boards you might like for example if youve indicated that youre interested in cooking or visited recipe websites that have pinterest features we may suggest foodrelated pins boards or people that we think you might like showing you ads you might be interested in for example if you purchased a camping tent on pinterest we may show you ads for other outdoorsy products,identification information
467,if you have an account on this site or have left comments you can request to receive an exported file of the personal data we hold about you including any data you have provided to us you can also request that we erase any personal data we hold about you this does not include any data we are obliged to keep for administrative legal or security purposes,browsing history
468,safety security and integrity safety security and integrity are an integral part of our services we use information we have to verify accounts and activity combat harmful conduct protect users against bad experiences and spam and promote safety security and integrity on and off our services such as by investigating suspicious activity or violations of our terms and policies and to ensure our services are being used legally please see the law our rights and protection section below for more information,procedure of money transactions
469,our services are dynamic and we often introduce new features which may require the collection of new information if we collect materially different personal data or materially change how we collect use or share your data we will notify you and may also modify this privacy policy,verification
470,naver returns the ip addressbased location information only for a selective locationbased service here the returned location information will not be separately stored or used for other purposes the processing of the returned location information follows the websites user agreement or privacy protection policy whenever users visit websites that use location information whale requests for permission with a popup window through this users are able to approve or refuse collection of their location information for a website blocked from tracing location a block icon appears on the search bar in order to resume the use of location information at the website visited click the website information icon located in front of the url on the search address bar or go to whale settings,hosting data
471,promotional communications you may opt out of receiving promotional emails text messages or mail from lucid,sponsored content
472,if you want to delete your personal data you have choices log in to your account and delete information you previously added for example you can delete your profile picture and nonprimary addresses in your settings call us and request that we delete specific information close your account,sharing personal data with companies that run business
473,we will retain your personal data only for as long as is necessary for the purposes set out in this privacy policy we will retain and use your personal data to the extent necessary to comply with our legal obligations,promote safety integrity and security
474,to create an account you need to provide data including your name email address and or mobile number and a password if you register for a premium service you will need to provide payment eg credit card and billing information,information retention
475,we get information about your signup and current location country and city from your ip address and device settings an ip address is a number that is assigned to your device by your internet service provider when you are accessing the internet you may receive personalized messages based on your location,personally identifiable information
476,payment processing providers such as gocardless paypal and stripe where necessary for payments,security of personal information
477,email address will be limited to extreme cases such as notifying users of serious bugs in an application or no more than once for nonmarketing product feedback requests,inputing text images
478,whale provides an autofill function that helps users enter repetitive data in a faster and more convenient way the autofill function is set as default but users are able to set the function to on or off at any time,ads
479,undelivered messages if a message cannot be delivered immediately for example if the recipient is offline we keep it in encrypted form on our servers for up to 30 days as we try to deliver it if a message is still undelivered after 30 days we delete it, restrict use of data 
480,adobe services and software may include buttons tools or content that link to other companies services for example a facebook like button we may collect information about your use of these features such as content liked and address information in google maps in addition when you see or interact with these buttons tools or content or view an adobe web page or app containing them some information from your browser may automatically be sent to the other company please read that companys privacy policy for more information,sharing personal information for legal requirements
481,our sites may place and access certain firstparty cookies on your computer or device first party cookies are those placed directly by us and are used only by us we use cookies to facilitate and improve your experience of our sites and to provide and improve our products and services by using our sites you may also receive certain thirdparty cookies on your computer or device our sites uses analytics services provided by google and researchgate which also use cookies website analytics refers to a set of tools used to collect and analyse usage statistics enabling us to better understand how people use our sites,personal data for profiling purposes
482,when you place an order on our website your full name email address mailing address phone number credit card number and credit card expiration date will be required the information is used to complete the transaction and help us provide better support and services to you,correcting mistakes in information
483,we receive personal data including contact information about you when others import or sync their contacts or calendar with our services associate their contacts with member profiles scan and upload business cards or send messages using our services including invites or connection requests if you or others opt in to sync email accounts with our services,provide customer support
484,we collect any personal information you provide to us when you use our services for example you may provide additional account information such as your language preferences you may also provide information when participating in surveys sweepstakes contests or events such as your contact information you are solely responsible for ensuring the information you provide to us is correct and uptodate,non personally identifiable information
485,in order to gain access to specific premium features within our services you must provide us with payment information including your credit or debit card number card expiration date cvv code and billing address,username and password
486,protecting against security threats abuse and illegal activity as part of our efforts to protect your account and the functionality of the evernote service our systems may analyze the emails you send to and from your evernote account and the notes you share to detect spam malware or other potential security concerns if we determine that such material constitutes a terms of service or user guidelines violation we may block delivery of or unshare the problematic material much like a spam filter works for your email inbox,necessary emails
487,also we support the do not track browser setting and you can learn more about how it affects our collection and use of offpinterest data,device settings information
488,respond to your comments questions and requests and provide customer service,what are the collected information
489,we or our authorized service providers may use cookies and similar tracking technologies to collect personal data whenever you use our services visit our sites or visit websites that offer our services the information collected with these technologies helps us personalize your experience measure the effect of our ads prevent fraud and enhance the security of our sites and service,automated processing methods
490,it may collect data to improve our operations and to understand how to provide you with the best experience,web beacons
491,we use data for promotional and marketing purposes and to tailor and personalise products and services,nonpersonally identifiable information
492,comply with valid requests or investigations by public authorities,ensure security of services
493,on installation and execution the product may send jetbrains certain information which will not contain any personal data including product version product edition and information about the operating system andor environment where the product is installed applicable to tools such as resharper which is a plugin to visual studio a unique id which does not contain any personal data is also used to distinguish instances the product can also check for available updates as well as available updates for plugins or components in addition it can check for subscription validation by either using the subscription key or your jetbrains account details some products can also use subscription information to inform you of the availability of applicable updates,download function
494,the main locations where we process your personal information are the us and india but we also transfer personal information to all other countries in the world where our services and software are available we carry out these transfers in compliance with applicable laws for example by putting data transfer agreements in place to help protect your personal information,incognito mode and guest mode
495,we use the information we collect in various ways including to provide operate and maintain our website,registeration data
496,the purpose of google adsense component is the integration of advertisements on the website we display only nonpersonalized ads that is ads that are not based on a users past behavior,cookies
497,if you choose to unsubscribe from our newsletter your email address will be deleted from our mailing list we do not keep email addresses for unsubscribed users on file,sharing data with connected third parties
498,we will get contact information for company page administrators and for authorizing users of our premium services such as our recruiting sales or learning products,improve operations 
499,this information may be used to profile the type of people using our website or services,delivering relevant evernote advertisements 
500,the information that chrome sends to google location services may include the wifi routers closest to you the strength of your wifi or cell signal the ip address that is currently assigned to your device,comply with investigations
501,a cookie is a small file containing a string of characters that is sent to your computer when you visit a website when you visit the site again the cookie allows that site to recognize your browser cookies may store user preferences and other information you can configure your browser to refuse all cookies or to indicate when a cookie is being sent however some website features or services may not function properly without cookies learn more about how google uses cookies and how google uses data including cookies when you use our partners sites or apps,contact information
502,nch softwares website is not structured to attract children accordingly we do not intend to collect personal information from anyone we know to be under 13 years of age,deleting email addresses for unsubscribed users
503,cookie data depending on how youre accessing our products we may use cookies small text files sent by your computer each time you visit our website unique to your pinterest account or your browser or similar technologies to record log data when we use cookies we may use session cookies that last until you close your browser or persistent cookies that last until you or your browser delete them for example we may use cookies to store your language preferences or other pinterest settings so you dont have to set them up every time you visit pinterest some of the cookies we use are associated with your pinterest account including personal information about you such as the email address you gave us and other cookies are not for more detailed information about how we use cookies please review our cookies policy,supply users with email newsletters
504,adobe offers certain features that let you edit and organize your photographs videos and other types of content using characteristics like face and voice eg you can group similar faces places and image characteristics within your collection and such characteristics may be considered biometric identifiers or biometric information under certain us laws or other applicable privacy laws when you choose to use these features adobe is acting only on your instructions in order to facilitate the service requested by you these features are off by default and should you choose to enable them you can always disable these features,basic and payment information
505,we use the collected data for various purposes including to fulfill any other purpose for which you provide it,the process of payments
506,jetbrains may collect among other things your ip address jetbrains account username jetbrains account password first name last name email address and subscription information,sharing nonpersonal data for industry research
507,cookies are very small files placed on your computer and they allow us to count the number of visitors to our website and distinguish repeat visitors from new ones they also allow us to save member preferences and track member trends,prevent cookies
508,you also may give us permission to access your information in other services for example you may link your facebook or twitter account to pinterest which allows us to obtain information from those accounts like your friends or contacts the information we get from those services often depends on your settings or their privacy policies so be sure to check what those are,using headers
509,this information may be to monitor who is accessing our website or using our services,audio electric visual information
510,right to erasure you have the right to obtain from us under the following conditions the deletion of your information the respective processing purpose has been achieved we have unlawfully processed your information you have withdrawn your consent without another legal basis applying to the data processing you have successfully objected to the data processing in cases where there is an obligation to delete information on the basis of eu law or the law of an eu member state to which we are subject,recommendation proposal of search terms
511,we use the collected data for various purposes including to monitor the usage of our service,sharing data with other members of paypal
512,collecting data about your profession,analysing data to improve services
513,the metadata shared by you such as shooting uploaded sharing photos or videos as well as exact date time place and other data stored when using our services,sharing data with service providers
514,we sell premium services that provide our customers and subscribers with customized search functionality and tools including messaging and activity alerts as part of our talent marketing and sales solutions customers can export limited information from your profile such as name headline current company current title and general location such as to manage sales leads or talent unless you optout,public information
515,information collected from customerâ€™s customers  to enable us to effectively provide whitelabel screenrec services we may collect the following information from customers who are customers of our customers when using screenrec services name business email address business telephone number company title and business billing address and payment information login credentials communication preferences unique ids such as ip address and device ids geolocation data other personal information of a natural person that may be included in videos or other data that is uploaded to screenrec services,basic subscription information
516,information associated with your account your phone number profile name and photo about information last seen information and message receipts are available to anyone who uses our services although you can configure your services settings to manage certain information available to other users including businesses with whom you communicate,member provided information
517,we may collect information about you when you visit our website or in connection with our services including but not limited to when you register or download our software or updates register for one of our mailing lists or visit or register with our blackmagic forum we may also collect information about you when you engage with us at trade shows and similar events such as when we scan your attendee pass at a trade booth,google analytics
518,we may collect information that you provide when you use the services such as when you send questions or comments via email or live chat to lucid customer support,cookies
519,for users who are inactive for extended periods of time we may close your account to satisfy our obligations under applicable law and in accordance with our data retention policy if that happens we will try to notify you before taking any action,make purchase 
520,protect our legitimate interests including legal interests,what are the collected information
521,our payment processor is the data controller of your payment information please make sure to check their privacy policy,analytics information
522,online advertisers typically share information with the websites or apps where they run ads to measure and or improve those ads we also receive this information which may include information like whether clicks on ads led to purchases or a list of criteria to use in targeting ads,take action against fraud 
523,if you close your account or request that we delete personal data we still need to keep some personal data so we can complete a transaction provide goods or services you requested or comply with our promises to you in the user agreement or other contract you have with us detect and prevent malicious fraudulent or illegal activity protect your or another persons legal rights including the right to free speech manage our internal business processes that are reasonably related to your expectations when using our services comply with laws,mobile device data
524,docker may use cookies to make interactions with the companys website easy and meaningful when you visit the companys website dockers servers send a cookie to your computer standing alone cookies do not personally identify you they merely recognize your web browser unless you choose to identify yourself to docker,complying with laws investigate
